npsn,nama,status,akreditasi,kab_kota,provinsi,alamat,lintang,bujur,jml_siswa,total_rombel,jml_jurusan,jurusan,url
69854728,UPTD SMK Negeri 1 Buntu Malangka,Negeri,C,Kab. Mamasa,Prov. Sulawesi Barat,"Galung, Desa Salurindu",-2.84120000,119.14780000,30,9,8,,https://smk.kemendikdasmen.go.id/detail-sekolah/D65984A3-A25C-4C62-8EB2-3A8383AF1F5A
69786288,SMKS PELITA HARAPAN,Swasta,C,Kab. Mamasa,Prov. Sulawesi Barat, Ladi,-2.97310000,119.56640000,49,3,2,,https://smk.kemendikdasmen.go.id/detail-sekolah/F6F7666D-866A-4E6E-AE34-533AC1BABC66
69990259,SMK-ALFALAH,Swasta,A,Kab. Pasangkayu,Prov. Sulawesi Barat,Desa Kasano,-1.55010000,119.35850000,0,0,4,,https://smk.kemendikdasmen.go.id/detail-sekolah/32C4E652-F22B-496C-8A8B-6B0883EE63B3
40605749,SMKS MA ARIF HUSNUL KHATIMAH,Swasta,A,Kab. Polewali Mandar,Prov. Sulawesi Barat,JL. GATOT SUBROTO NO. 34,-3.40060000,119.31030000,164,13,12,,https://smk.kemendikdasmen.go.id/detail-sekolah/CC9561A0-C634-4700-A71A-73517A261F0C
69758198,SMKS PERTANIAN MALATIRO,Swasta,C,Kab. Mamasa,Prov. Sulawesi Barat,MALATIRO,-2.78960000,119.33180000,31,3,4,,https://smk.kemendikdasmen.go.id/detail-sekolah/5B558CE1-D482-4308-82B3-9D5E9966583C
69984990,SMKS PEDULI BANGSA PASANGKAYU,Swasta,B,Kab. Pasangkayu,Prov. Sulawesi Barat,JL.LING. TANJUNG BABIA,-1.17550000,119.36600000,251,9,8,,https://smk.kemendikdasmen.go.id/detail-sekolah/BA5D2F6D-D94A-4129-B9EF-9D6E2CEC5863
69974220,SMKS 02 RAHMAT TOMAKAKA,Swasta,C,Kab. Polewali Mandar,Prov. Sulawesi Barat,"Dusun Batu Panga Rw. 03, Desa Batu Panga Daala",-3.38003670,119.10013960,0,0,5,,https://smk.kemendikdasmen.go.id/detail-sekolah/322EE9CF-5263-48E0-88B7-42562920AA96
69962881,SMK SWASTA CIPTA INSANI NUSANTARA,Swasta,B,Kab. Polewali Mandar,Prov. Sulawesi Barat,Bonne-Bonne,-3.40400020,119.17943510,176,7,7,,https://smk.kemendikdasmen.go.id/detail-sekolah/57A501D3-52BC-475D-B559-694AE549B0AF
69774916,SMKS SALUMANURUNG,Swasta,C,Kab. Mamuju Tengah,Prov. Sulawesi Barat,SALUMANURUNG,-2.18090000,119.19390000,60,3,1,,https://smk.kemendikdasmen.go.id/detail-sekolah/D6E62DFF-EB16-451C-ACE6-6324533AD9B3
40605637,SMKS KOTA TINGGI,Swasta,C,Kab. Majene,Prov. Sulawesi Barat,Jl. Poros Majene-Mamuju KM 85 Kota Tinggi,-3.04070000,118.85910000,47,3,3,,https://smk.kemendikdasmen.go.id/detail-sekolah/A4C49092-8B8E-4629-A8AE-88788CE47FC8
40602562,UPTD SMKN REA TIMUR / SPPN POLMAN,Negeri,B,Kab. Polewali Mandar,Prov. Sulawesi Barat,Jl. Poros Polewali-Pinrang Km.4 ,-3.44240000,119.38760000,189,17,17,,https://smk.kemendikdasmen.go.id/detail-sekolah/40CAE2CC-FEAE-4288-AFCD-9C8EBF000522
