npsn,nama,status,akreditasi,kab_kota,provinsi,alamat,lintang,bujur,jml_siswa,total_rombel,jml_jurusan,jurusan,url
40600655,UPTD SMKN 1 TINAMBUNG,Negeri,B,Kab. Polewali Mandar,Prov. Sulawesi Barat,JL. PENDIDIKAN NO. 171 TINAMBUNG,-3.50180000,119.02410000,738,27,22,,https://smk.kemendikdasmen.go.id/detail-sekolah/91797C08-8E28-41EE-A932-0C8E677F2FAC
40604382,UPTD SMKN LABUANG,Negeri,B,Kab. Polewali Mandar,Prov. Sulawesi Barat,JL.POROS MAJENE,-3.46090000,119.14190000,474,23,19,,https://smk.kemendikdasmen.go.id/detail-sekolah/9B141802-045B-4FC2-AAB2-54D4A7CC55C3
69758234,UPTD SMKN 1 ARALLE,Negeri,C,Kab. Mamasa,Prov. Sulawesi Barat,UHAIDAO,-2.91880000,119.12390000,81,6,6,,https://smk.kemendikdasmen.go.id/detail-sekolah/1E575930-F3A9-48D6-AD76-FDCADA2ED69A
69852826,UPTD SMK NEGERI LAMBANAN,Negeri,C,Kab. Mamasa,Prov. Sulawesi Barat,LAMBANAN,-2.87224500,119.44800400,80,11,12,,https://smk.kemendikdasmen.go.id/detail-sekolah/89B54F77-8BC9-466E-92EB-E4651566E43C
69940165,SMK HARAPAN BANGSA MAJENE,Swasta,B,Kab. Majene,Prov. Sulawesi Barat,APOLEANG UTARA,-3.40678770,118.90444010,0,0,3,,https://smk.kemendikdasmen.go.id/detail-sekolah/3777B411-FD75-4BA9-B8F1-A9E48C50998B
40602682,SMKS TALENTA,Swasta,C,Kab. Mamasa,Prov. Sulawesi Barat,JL. RANTEKATOAN,-2.95710000,119.36770000,43,8,12,,https://smk.kemendikdasmen.go.id/detail-sekolah/050F28EB-E481-4B15-B0AC-273C21F7F79A
69949537,SMKS MADANI MANDAR,Swasta,C,Kab. Polewali Mandar,Prov. Sulawesi Barat,Jl. Poros Majene Laliko,-3.43758900,119.11338690,34,3,3,,https://smk.kemendikdasmen.go.id/detail-sekolah/2FA34039-5B5F-4CB3-B7C6-4D0CA4AB37BA
69949488,UPTD SMK NEGERI PARIWISATA MAMASA,Negeri,C,Kab. Mamasa,Prov. Sulawesi Barat,Kalimbuang,-2.93690000,119.36800000,100,9,9,,https://smk.kemendikdasmen.go.id/detail-sekolah/69A5FC66-C25E-4B0E-9DE4-3643227FA516
40600646,UPTD SMKN PAKU,Negeri,B,Kab. Polewali Mandar,Prov. Sulawesi Barat,JL. POROS PINRANG KM.15 DESA MIRRING,-3.47750000,119.45520000,195,12,13,,https://smk.kemendikdasmen.go.id/detail-sekolah/D71A8C07-66B3-4250-9C08-14D871A5AF0C
40601025,SMKS YPK MAMASA,Swasta,C,Kab. Mamasa,Prov. Sulawesi Barat,JL. KAMPUNG BARU MAMASA,-2.93881120,119.37655630,35,3,7,,https://smk.kemendikdasmen.go.id/detail-sekolah/D25A69BB-0CA1-4CE6-9799-2C4FC58154BD
69931900,UPTD SMK NEGERI SULBAR,Negeri,B,Kab. Mamuju,Prov. Sulawesi Barat,Jl. Pahlawan Kalukku,-2.53750000,119.07050000,129,7,7,,https://smk.kemendikdasmen.go.id/detail-sekolah/4F672B9F-9142-4EF7-9A43-2F6A46C39DCB
69939407,SMKS BINA GENERASI MANDIRI,Swasta,C,Kab. Polewali Mandar,Prov. Sulawesi Barat,Dusun Perandangan,-3.18490000,119.03620000,44,3,4,,https://smk.kemendikdasmen.go.id/detail-sekolah/11CEDA95-E6B9-46DD-9550-0C970559DE1E
40600211,UPTD SMKN KAROSSA,Negeri,A,Kab. Mamuju Tengah,Prov. Sulawesi Barat,MORA KM. 6 KAROSSA,-1.80200000,119.39140000,213,15,16,,https://smk.kemendikdasmen.go.id/detail-sekolah/7689E11F-D5AC-4E9B-856C-3CB1149E1ADC
40605628,UPTD SMKN 1 SARUDU,Negeri,B,Kab. Pasangkayu,Prov. Sulawesi Barat,Jl.Banteng Desa Bulu Mario,-1.68270000,119.34370000,234,10,8,,https://smk.kemendikdasmen.go.id/detail-sekolah/52D5909E-9E05-4586-A6E1-A2F74721FA7C
69774911,UPTD SMKN 1 BONEHAU,Negeri,C,Kab. Mamuju,Prov. Sulawesi Barat,TAMALEA,-2.47650000,119.43530000,90,4,6,,https://smk.kemendikdasmen.go.id/detail-sekolah/FEC17C3A-B456-476C-9B3F-2CE4D15631B5
69899154,SMK BUNTU MASAKKE,Swasta,B,Kab. Mamasa,Prov. Sulawesi Barat,JL. Lingkar Kel. Messawa,-3.26930440,119.33150180,41,3,12,,https://smk.kemendikdasmen.go.id/detail-sekolah/08219850-6F2A-4406-AF30-22A5FB551DE3
69774922,SMKS BINA BAKTI,Swasta,C,Kab. Mamuju,Prov. Sulawesi Barat,KABULOANG,-2.49270000,119.11090000,57,3,3,,https://smk.kemendikdasmen.go.id/detail-sekolah/CE850975-A945-4FF7-81A6-668CED0A3817
69824838,SMKS MITRA NUSANTARA,Swasta,C,Kab. Mamasa,Prov. Sulawesi Barat,"Rantepalado,bambang",-2.95630000,119.20400000,27,3,3,,https://smk.kemendikdasmen.go.id/detail-sekolah/FB573596-DF78-4043-BB44-5BCACBB47EDE
40604625,UPTD SMKN 1 BARAS,Negeri,B,Kab. Pasangkayu,Prov. Sulawesi Barat,Jl. Dg. Mattahang,-1.53510000,119.34010000,213,13,12,,https://smk.kemendikdasmen.go.id/detail-sekolah/AC828A17-E8D2-40A1-A886-2213350A1B50
40600657,SMKS MUHAMMADIYAH WONOMULYO,Swasta,B,Kab. Polewali Mandar,Prov. Sulawesi Barat,JL. SULTAN HASANUDDIN NO. 72 WONOMULYO,-3.39520000,119.21380000,268,9,9,,https://smk.kemendikdasmen.go.id/detail-sekolah/7CF18BA0-2FA4-4AB6-9421-3D30E4623292
69774912,UPTD SMK NEGERI 1 TOMMO,Negeri,C,Kab. Mamuju,Prov. Sulawesi Barat,TOMMO,-2.30980000,119.32800000,95,7,8,,https://smk.kemendikdasmen.go.id/detail-sekolah/B6F75E3E-E809-4F35-A4D4-8CEE91DCF290
40604711,UPTD SMKN TOPOYO,Negeri,B,Kab. Mamuju Tengah,Prov. Sulawesi Barat,JL. POROS TABOLANG,-2.05190000,119.31250000,374,18,26,,https://smk.kemendikdasmen.go.id/detail-sekolah/67E4C102-A837-411E-97D0-5D0D0A5B11A2
40605310,SMKS ISLAM  PONIANG,Swasta,B,Kab. Majene,Prov. Sulawesi Barat,JLN. POROS MAJENE-MAMUJU KM. 41 PONIANG,-3.29280000,118.85860000,185,7,2,,https://smk.kemendikdasmen.go.id/detail-sekolah/87AAC5EC-1D6A-4F4A-A9F0-135614AABC9D
40600656,UPTD SMKN 1 POLEWALI,Negeri,A,Kab. Polewali Mandar,Prov. Sulawesi Barat,JL. K.H. AGUS SALIM NO. 1 POLEWALI,-3.40870000,119.31920000,1070,33,25,,https://smk.kemendikdasmen.go.id/detail-sekolah/37371C4D-9C8A-44BB-BFB2-2D579FFB4C39
69795846,SMK MEGA LINK MAJENE,Swasta,B,Kab. Majene,Prov. Sulawesi Barat,Poros Majene Mamuju Km. 07 Soreang,-3.54260000,118.92510000,79,3,3,,https://smk.kemendikdasmen.go.id/detail-sekolah/DCF78097-9E11-4437-88CA-8750E47C21E9
40600221,UPTD SMKN 1 RANGAS,Negeri,A,Kab. Mamuju,Prov. Sulawesi Barat,Jl. H. ABD. MALIK PATTANA ENDENG,-2.65970000,118.84800000,959,36,30,,https://smk.kemendikdasmen.go.id/detail-sekolah/4AF1A9F7-66B3-4C98-8F26-C35156564FE8
40600212,SMKS PELAYARAN SAMUDRA MAMUJU,Swasta,B,Kab. Mamuju,Prov. Sulawesi Barat,JLN. MUSA KARIM II NO.17 MAMUJU,-2.69150000,118.87870000,0,0,7,,https://smk.kemendikdasmen.go.id/detail-sekolah/1CD30A12-27D3-43C1-BB6D-0F4B92F51264
69907901,SMKS JUAN PATTAROPURA ,Swasta,C,Kab. Mamuju Tengah,Prov. Sulawesi Barat,Dusun Karama,-2.29331740,119.16274680,82,6,2,,https://smk.kemendikdasmen.go.id/detail-sekolah/B936EA54-2A50-4362-B748-788FE6A643F9
69964199,UPTD SMKN 9 MAJENE,Negeri,C,Kab. Majene,Prov. Sulawesi Barat,JL. Poros Salatambung - Aralle Km. 10,-3.07859670,118.86638540,73,3,5,,https://smk.kemendikdasmen.go.id/detail-sekolah/073425AD-3BED-445A-8595-ED7846AEFFC7
69877308,UPTD SMKN 2 PASANGKAYU,Negeri,C,Kab. Pasangkayu,Prov. Sulawesi Barat,JL. TRANS SULAWESI,-1.18070000,119.34830000,255,13,11,,https://smk.kemendikdasmen.go.id/detail-sekolah/06F73542-B6B8-4A1F-8650-431CD3C24EC5
69774915,SMKS PUNGGAWA MALOLO,Swasta,B,Kab. Mamuju,Prov. Sulawesi Barat,Jl. Punggawa Malolo Lr. Kapandeang Lombang-Lombang,-2.56470000,119.03680000,152,6,3,,https://smk.kemendikdasmen.go.id/detail-sekolah/B00183F9-C59D-49CE-A572-418ACC2F2387
40605754,UPTD SMKN 7 MAJENE,Negeri,B,Kab. Majene,Prov. Sulawesi Barat,JL POROS MAJENE - MAMUJU KM 47,-3.23297100,118.83329400,548,20,14,,https://smk.kemendikdasmen.go.id/detail-sekolah/3D25A06B-80E5-43EC-83EF-780D7FE05258
40604356,UPTD SMKN KALUMPANG,Negeri,C,Kab. Mamuju,Prov. Sulawesi Barat,JLN. ANOA,-2.48040000,119.48700000,33,6,4,,https://smk.kemendikdasmen.go.id/detail-sekolah/F62CEC1A-4CD9-4C6E-BFFB-8BB916DC7066
69857919,UPTD SMK NEGERI ALU,Negeri,B,Kab. Polewali Mandar,Prov. Sulawesi Barat,PETOOSANG,-3.42820000,118.99230000,87,9,13,,https://smk.kemendikdasmen.go.id/detail-sekolah/09FACE4E-8D5A-4CEF-8012-5FF106CE16F9
70042868,SMK Bintang Sembilan,Swasta,NULL,Kab. Pasangkayu,Prov. Sulawesi Barat,Jl. Moh. Hatta,-1.17420000,119.35030000,0,0,1,,https://smk.kemendikdasmen.go.id/detail-sekolah/71999119-F4F2-4697-9100-F106CD652703
69760851,SMKS DARUL HASANAH,Swasta,B,Kab. Polewali Mandar,Prov. Sulawesi Barat,JL. POROS MAJENE,-3.40070000,119.22990000,86,6,4,,https://smk.kemendikdasmen.go.id/detail-sekolah/038DE2A7-EF73-4764-AB4A-96FE3F0BCFC4
40605150,SMKS DDI POLEWALI,Swasta,B,Kab. Polewali Mandar,Prov. Sulawesi Barat,JL.GATOT SUBROTO KAMPUS DDI POLEWALI,-3.44220000,119.38790000,62,4,7,,https://smk.kemendikdasmen.go.id/detail-sekolah/CB80A59D-CB2B-4B03-8B37-2DD330952FCE
40605470,SMKS KEPERAWATAN ALMUBARAK TOPOYO,Swasta,C,Kab. Mamuju Tengah,Prov. Sulawesi Barat,JL. ABD MAJID PATTAROPURA,-2.06925000,119.28861700,115,6,7,,https://smk.kemendikdasmen.go.id/detail-sekolah/F732EDBD-E746-449C-AB87-3060D9342B1B
69859684,UPTD SMK NEGERI 1 MAMUJU,Negeri,A,Kab. Mamuju,Prov. Sulawesi Barat,Jl. Muh. Husni Thamrin,-2.67910000,118.89930000,825,27,16,,https://smk.kemendikdasmen.go.id/detail-sekolah/06258F9C-4A6D-43BB-901C-74603BDA0243
