npsn,nama,status,akreditasi,kab_kota,jml_jurusan_api,jml_jurusan_scrape,jurusan,jml_siswa,total_rombel
40602562,UPTD SMKN REA TIMUR / SPPN POLMAN,Negeri,B,Kab. Polewali Mandar,17,10,Agribisnis Pengolahan Hasil Pertanian | Agribisnis Perikanan | Agribisnis Perikanan Air Tawar | Agribisnis Tanaman | Agribisnis Tanaman Pangan dan Hortikultura | Agribisnis Tanaman Perkebunan | Agribisnis Ternak | Agribisnis Ternak Ruminansia | Agriteknologi Pengolahan Hasil Pertanian | Kesehatan Hewan,189,17
69786950,UPTD SMKN 1 BUDONG BUDONG,Negeri,B,Kab. Mamuju Tengah,8,4,Agribisnis Tanaman | Agribisnis Tanaman Pangan dan Hortikultura | Teknik Otomotif | Teknik Sepeda Motor,47,6
69760852,UPTD SMKN 2 POLEWALI,Negeri,B,Kab. Polewali Mandar,13,6,Busana | Desain dan Produksi Busana | Kuliner | Perhotelan | Tata Boga | Tata Busana,77,9
69956618,SMK SWASTA ARMIDA ABDULLADIN,Swasta,B,Kab. Polewali Mandar,4,4,Agribisnis Tanaman | Agribisnis Tanaman Perkebunan | Desain Komunikasi Visual | Multimedia,118,5
40604357,UPTD SMKN PAPALANG,Negeri,A,Kab. Mamuju,22,16,Agribisnis Pengolahan Hasil Pertanian | Agriteknologi Pengolahan Hasil Pertanian | Bisnis Digital | Desain Pemodelan dan Informasi Bangunan | Pemasaran | Teknik Audio Video | Teknik dan Bisnis Sepeda Motor | Teknik Elektronika | Teknik Jaringan Komputer dan Telekomunikasi | Teknik Kendaraan Ringan | Teknik Kendaraan Ringan Otomotif | Teknik Komputer dan Jaringan | Teknik Otomotif | Teknik Pengelasan | Teknik Pengelasan dan Fabrikasi Logam | Teknik Sepeda Motor,688,30
40600634,UPTD SMKN TAPANGO,Negeri,B,Kab. Polewali Mandar,15,7,Agribisnis Tanaman | Agribisnis Tanaman Pangan dan Hortikultura | Desain Komunikasi Visual | Teknik Audio Video | Teknik Elektronika | Teknik Otomotif | Teknik Sepeda Motor,442,18
40602587,SMKS BUNGA BANGSA SEJAHTERA,Swasta,B,Kab. Majene,4,1,Tidak ada data,0,0
40601489,UPTD SMKN 1 MAJENE,Negeri,A,Kab. Majene,15,8,Busana | Desain dan Produksi Busana | Kecantikan dan Spa | Kuliner | Perhotelan | Tata Kecantikan Kulit dan Rambut | Teknik Jaringan Komputer dan Telekomunikasi | Teknik Komputer dan Jaringan,497,22
40605152,SMKS PESANTREN AL IKHLASH,Swasta,B,Kab. Polewali Mandar,6,1,Tidak ada data,0,0
69786289,SMKS KEHUTANAN MAMASA,Swasta,C,Kab. Mamasa,4,1,Tidak ada data,0,0
70002024,SMKS BINA INSANI MALUNDA,Swasta,C,Kab. Majene,4,4,Agribisnis Ternak | Agribisnis Ternak Ruminansia | Kehutanan | Teknologi Produksi Hasil Hutan,78,6
40600647,UPTD SMKN LIMBORO,Negeri,B,Kab. Polewali Mandar,9,8,Busana | Desain dan Produksi Busana | Tata Busana | Teknik dan Bisnis Sepeda Motor | Teknik Jaringan Komputer dan Telekomunikasi | Teknik Komputer dan Jaringan | Teknik Otomotif | Teknik Sepeda Motor,303,13
69759072,SMKS AWARA ARALLE,Swasta,C,Kab. Mamasa,2,2,Asisten Keperawatan | Teknik Komputer dan Jaringan,52,5
40604622,SMKS SALURANTE,Swasta,Tidak Terakreditasi,Kab. Mamasa,3,2,Agribisnis Tanaman Pangan dan Hortikultura | Agribisnis Ternak,0,0
40601052,UPTD SMKN 1 MAMASA,Negeri,B,Kab. Mamasa,21,12,Agribisnis Pengolahan Hasil Pertanian | Agribisnis Tanaman | Agribisnis Tanaman Pangan dan Hortikultura | Agriteknologi Pengolahan Hasil Pertanian | Busana | Desain dan Produksi Busana | Desain Pemodelan dan Informasi Bangunan | Teknik Jaringan Komputer dan Telekomunikasi | Teknik Komputer dan Jaringan | Teknik Konstruksi dan Perumahan | Teknik Otomotif | Teknik Sepeda Motor,670,24
40600659,SMKS SUPARMAN WONOMULYO,Swasta,B,Kab. Polewali Mandar,12,5,Teknik Jaringan Komputer dan Telekomunikasi | Teknik Kendaraan Ringan | Teknik Komputer dan Jaringan | Teknik Otomotif | Teknik Sepeda Motor,126,8
69774921,SMKS DARUL QURAN WAL-HADITS NW,Swasta,C,Kab. Mamuju,4,2,Teknik Jaringan Komputer dan Telekomunikasi | Teknik Komputer dan Jaringan,0,0
