npsn,nama,status,akreditasi,kab_kota,jml_jurusan_api,jml_jurusan_scrape,jurusan,jml_siswa,total_rombel
40600656,UPTD SMKN 1 POLEWALI,Negeri,A,Kab. Polewali Mandar,25,10,Akuntansi | Akuntansi dan Keuangan Lembaga | Bisnis Retail | Desain Komunikasi Visual | Desain Pemodelan dan Informasi Bangunan | Layanan Penunjang Kefarmasian Klinis dan Komunitas | Manajemen Perkantoran | Manajemen Perkantoran dan Layanan Bisnis | Pemasaran | Teknologi Farmasi,1070,33
69795846,SMK MEGA LINK MAJENE,Swasta,B,Kab. Majene,3,2,Broadcasting dan Perfilman | Multimedia,79,3
40600221,UPTD SMKN 1 RANGAS,Negeri,A,Kab. Mamuju,30,19,"Agribisnis Pengolahan Hasil Perikanan | Agribisnis Pengolahan Hasil Pertanian | Agriteknologi Pengolahan Hasil Pertanian | Animasi | Desain Komunikasi Visual | Desain Pemodelan dan Informasi Bangunan | Konstruksi dan Perawatan Bangunan Sipil | Konstruksi Jalan dan Jembatan | Teknik Elektronika | Teknik Elektronika Industri | Teknik Grafika | Teknik Instalasi Tenaga Listrik | Teknik Kendaraan Ringan | Teknik Ketenagalistrikan | Teknik Otomotif | Teknik Pemanasan, Tata Udara, dan Pendinginan (Heating, Ventilation, and Air Conditioning) | Teknik Pengelasan | Teknik Pengelasan dan Fabrikasi Logam | Teknik Sepeda Motor",959,36
40600212,SMKS PELAYARAN SAMUDRA MAMUJU,Swasta,B,Kab. Mamuju,7,3,Nautika Kapal Niaga | Tata Busana | Teknika Kapal Niaga,0,0
69907901,SMKS JUAN PATTAROPURA ,Swasta,C,Kab. Mamuju Tengah,2,2,Teknik Kendaraan Ringan Otomotif | Teknik Komputer dan Jaringan,82,6
69964199,UPTD SMKN 9 MAJENE,Negeri,C,Kab. Majene,5,3,Agribisnis Tanaman | Agribisnis Tanaman Pangan dan Hortikultura | Agribisnis Tanaman Perkebunan,73,3
69877308,UPTD SMKN 2 PASANGKAYU,Negeri,C,Kab. Pasangkayu,11,6,Desain Komunikasi Visual | Desain Pemodelan dan Informasi Bangunan | Manajemen Perkantoran | Manajemen Perkantoran dan Layanan Bisnis | Teknik Otomotif | Teknik Sepeda Motor,255,13
69774915,SMKS PUNGGAWA MALOLO,Swasta,B,Kab. Mamuju,3,3,Geologi Pertambangan | Pengembangan Perangkat Lunak dan Gim | Teknik Geologi Pertambangan,152,6
40605754,UPTD SMKN 7 MAJENE,Negeri,B,Kab. Majene,14,9,Agribisnis Tanaman | Agribisnis Tanaman Perkebunan | Busana | Desain dan Produksi Busana | Desain Komunikasi Visual | Teknik Audio Video | Teknik Elektronika | Teknik Jaringan Komputer dan Telekomunikasi | Teknik Komputer dan Jaringan,548,20
40604356,UPTD SMKN KALUMPANG,Negeri,C,Kab. Mamuju,4,4,Agribisnis Pengolahan Hasil Pertanian | Agriteknologi Pengolahan Hasil Pertanian | Teknik Jaringan Komputer dan Telekomunikasi | Teknik Komputer dan Jaringan,33,6
69857919,UPTD SMK NEGERI ALU,Negeri,B,Kab. Polewali Mandar,13,5,Agribisnis Tanaman | Agribisnis Tanaman Perkebunan | Busana | Desain dan Produksi Busana | Desain Komunikasi Visual,87,9
70042868,SMK Bintang Sembilan,Swasta,NULL,Kab. Pasangkayu,1,1,Tidak ada data,0,0
69760851,SMKS DARUL HASANAH,Swasta,B,Kab. Polewali Mandar,4,4,Manajemen Perkantoran dan Layanan Bisnis | Otomatisasi dan Tata Kelola Perkantoran | Teknik dan Bisnis Sepeda Motor | Teknik Otomotif,86,6
40605150,SMKS DDI POLEWALI,Swasta,B,Kab. Polewali Mandar,7,3,Desain Komunikasi Visual | Manajemen Perkantoran | Otomatisasi dan Tata Kelola Perkantoran,62,4
40605470,SMKS KEPERAWATAN ALMUBARAK TOPOYO,Swasta,C,Kab. Mamuju Tengah,7,4,Layanan Kesehatan | Layanan Penunjang Keperawatan dan Caregiving | Teknik Jaringan Komputer dan Telekomunikasi | Teknik Komputer dan Jaringan,115,6
69859684,UPTD SMK NEGERI 1 MAMUJU,Negeri,A,Kab. Mamuju,16,10,Agribisnis Pengolahan Hasil Pertanian | Agriteknologi Pengolahan Hasil Pertanian | Akuntansi | Akuntansi dan Keuangan Lembaga | Manajemen Perkantoran | Manajemen Perkantoran dan Layanan Bisnis | Teknik Instalasi Tenaga Listrik | Teknik Jaringan Komputer dan Telekomunikasi | Teknik Ketenagalistrikan | Teknik Komputer dan Jaringan,825,27
69893698,SMK HARAPAN,Swasta,C,Kab. Mamasa,7,4,Agribisnis Pengolahan Hasil Pertanian | Agriteknologi Pengolahan Hasil Pertanian | Teknik Jaringan Komputer dan Telekomunikasi | Teknik Komputer dan Jaringan,97,6
69963880,SMK  MITRA BANGSA,Swasta,C,Kab. Mamasa,5,4,Desain Komunikasi Visual | Multimedia | Teknik Kendaraan Ringan Otomotif | Teknik Otomotif,60,6
69970464,SMKS  AL-QADRI MAJENE,Swasta,C,Kab. Majene,6,3,Nautika Kapal Niaga | Teknik Jaringan Komputer dan Telekomunikasi | Teknik Komputer dan Jaringan,0,0
69774919,SMKS BINA BANGSA,Swasta,C,Kab. Mamuju Tengah,1,1,Otomatisasi dan Tata Kelola Perkantoran,59,3
69900168,SMK S YAPIZ,Swasta,C,Kab. Mamuju,3,2,Teknik Jaringan Komputer dan Telekomunikasi | Teknik Komputer dan Jaringan,0,0
40604636,UPTD SMKN 2 BARAS,Negeri,B,Kab. Pasangkayu,6,5,Teknik Jaringan Komputer dan Telekomunikasi | Teknik Kendaraan Ringan | Teknik Kendaraan Ringan Otomotif | Teknik Komputer dan Jaringan | Teknik Otomotif,215,9
